Genus,Pvalue,FDR
Terrisporobacter,0.0022485437726472365,0.294559234216788
Intestinibacter,0.006637613798651285,0.3475139606411774
CAG-56,0.007958334976515513,0.3475139606411774
Romboutsia,0.013612410844601401,0.4458064551606959
Lachnospiraceae FCS020 group,0.022828238076316287,0.49843956993610156
Slackia,0.022829293279516102,0.49843956993610156
Clostridium sensu stricto 1,0.0321821394014767,0.6022657516562068
Lachnospiraceae UCG-003,0.040835510780173674,0.668681489025344
Enterorhabdus,0.049332966794565676,0.6749395394890763
Subdoligranulum,0.05152210225107452,0.6749395394890763
Granulicatella,0.060367779097908233,0.676498543371432
Faecalibacterium,0.06970299486601558,0.676498543371432
Prevotella_7,0.07710608076092011,0.676498543371432
Marvinbryantia,0.08433571319895618,0.676498543371432
UBA1819,0.0875396447341679,0.676498543371432
[Eubacterium] nodatum group,0.08852412703072844,0.676498543371432
[Ruminococcus] gnavus group,0.09043412629449515,0.676498543371432
UCG-003,0.09391787889252753,0.676498543371432
Rikenellaceae RC9 gut group,0.09811810934394814,0.676498543371432
Dorea,0.104793488330855,0.6863973485671002
Bacteroides,0.1244784662394059,0.722749076706593
[Eubacterium] ventriosum group,0.12895313618757354,0.722749076706593
Lachnospira,0.1341135726654874,0.722749076706593
Peptococcus,0.14098222934906623,0.722749076706593
Escherichia-Shigella,0.1416101524695509,0.722749076706593
Anaerococcus,0.16411750318405038,0.722749076706593
Prevotella_9,0.1698151596347146,0.722749076706593
UCG-002,0.1711511256267748,0.722749076706593
Actinomyces,0.17115455093112797,0.722749076706593
Corynebacterium,0.1802210437068822,0.722749076706593
Enterococcus,0.18487317612105925,0.722749076706593
Leuconostoc,0.1948266971654945,0.722749076706593
Ligilactobacillus,0.2052471904039469,0.722749076706593
Turicibacter,0.20829718374770811,0.722749076706593
Erysipelotrichaceae UCG-006,0.21242922110565643,0.722749076706593
Defluviitaleaceae UCG-011,0.22374727276710338,0.722749076706593
Holdemania,0.22725459185373997,0.722749076706593
Lachnospiraceae UCG-001,0.22789012018594612,0.722749076706593
Dialister,0.23357780496163294,0.722749076706593
Christensenellaceae R-7 group,0.24045914053150363,0.722749076706593
Incertae Sedis,0.24170465711022615,0.722749076706593
Lactococcus,0.24489954544999037,0.722749076706593
Gemella,0.2486759881493309,0.722749076706593
Brevibacillus,0.24883139063746795,0.722749076706593
Mitsuokella,0.2504038117092885,0.722749076706593
Family XIII UCG-001,0.2537897521259792,0.722749076706593
Lachnospiraceae AC2044 group,0.26377633583879545,0.7281343401583656
UCG-005,0.26679731547787444,0.7281343401583656
CHKCI002,0.2791552931020016,0.7463131305380043
Libanicoccus,0.2865816612597658,0.7508439525005863
[Eubacterium] hallii group,0.2967443497473885,0.7622256826844686
F0332,0.31448352866087637,0.7748412292051311
Fastidiosipila,0.3209109501548435,0.7748412292051311
Atopobium,0.32679412509703676,0.7748412292051311
[Ruminococcus] gauvreauii group,0.32786110871069485,0.7748412292051311
Lachnospiraceae NK4A136 group,0.33173118485573716,0.7748412292051311
Sutterella,0.3419524695702162,0.7748412292051311
Monoglobus,0.34744237411045586,0.7748412292051311
Bifidobacterium,0.35977097758836263,0.7748412292051311
Coprococcus,0.3610234184860386,0.7748412292051311
Parabacteroides,0.363032461745996,0.7748412292051311
Limosilactobacillus,0.3667187497001384,0.7748412292051311
[Eubacterium] ruminantium group,0.38248947180128123,0.7953352508883784
Blautia,0.39260316955858343,0.7985206649168245
[Ruminococcus] torques group,0.39621254366101977,0.7985206649168245
Ureibacillus,0.4287982593588492,0.8510995753940795
Lactobacillus,0.43761308714165437,0.8556315584411451
Negativibacillus,0.4603432257355188,0.8747637470550361
Holdemanella,0.46441462693265023,0.8747637470550361
Oribacterium,0.47054779648403766,0.8747637470550361
Eubacterium,0.47410859573211883,0.8747637470550361
Lachnospiraceae UCG-010,0.4904431440219025,0.892334053706517
Akkermansia,0.5241756939359761,0.9114826346106254
Olsenella,0.5327512282437757,0.9114826346106254
Porphyromonas,0.5345376385871683,0.9114826346106254
[Eubacterium] siraeum group,0.5401875886350629,0.9114826346106254
Lachnospiraceae ND3007 group,0.5416585991529135,0.9114826346106254
Butyricicoccus,0.5427148511422044,0.9114826346106254
Phascolarctobacterium,0.5529512418396739,0.9169191478607251
Intestinimonas,0.564334351995887,0.924097501393265
Butyricimonas,0.5760576828268869,0.9316488450657059
Catenibacterium,0.5856897714010336,0.9332199776560635
Anaerofustis,0.5912767797362845,0.9332199776560635
Adlercreutzia,0.6118888660868644,0.9354200845561128
Agathobacter,0.6143195401637558,0.9354200845561128
Eggerthella,0.6188443324154821,0.9354200845561128
Fusicatenibacter,0.6212331859265787,0.9354200845561128
Ruminococcus,0.6373998947270418,0.9488566614686645
Fournierella,0.6522182478676086,0.9600066345017609
Oscillibacter,0.670166944542406,0.9606850942425942
Solobacterium,0.6733106114613712,0.9606850942425942
Senegalimassilia,0.6746796081703714,0.9606850942425942
Fenollaria,0.6895928244237343,0.961528070503475
Sarcina,0.7078599788361708,0.961528070503475
Murdochiella,0.7193854931711323,0.961528070503475
Paludicola,0.7285152923290017,0.961528070503475
[Eubacterium] saphenum group,0.7556677075540864,0.961528070503475
Shuttleworthia,0.7589607867294094,0.961528070503475
CAG-352,0.7630798865100951,0.961528070503475
[Bacteroides] pectinophilus group,0.7642844094247728,0.961528070503475
Barnesiella,0.7698184682221566,0.961528070503475
[Clostridium] innocuum group,0.7702528421824455,0.961528070503475
Chungangia,0.7720143555716725,0.961528070503475
Rothia,0.7754100496711716,0.961528070503475
Raoultibacter,0.7778776871014617,0.961528070503475
Roseburia,0.7795612071367566,0.961528070503475
Gordonibacter,0.797464871659415,0.961528070503475
UCG-009,0.8059237900841325,0.961528070503475
Family XIII AD3011 group,0.807389479224901,0.961528070503475
Anaerostipes,0.8073899828655133,0.961528070503475
[Eubacterium] brachy group,0.8270295648943307,0.9714022685362281
Succinivibrio,0.8332479224863623,0.9714022685362281
Collinsella,0.8428207417746725,0.9714022685362281
[Eubacterium] eligens group,0.8453424321612978,0.9714022685362281
Staphylococcus,0.8548953903219296,0.9738373576710676
Alistipes,0.8828116866781512,0.9848830917806297
Bacillus,0.886672488258497,0.9848830917806297
Weissella,0.8977683471494446,0.9848830917806297
NK4A214 group,0.8980154922806061,0.9848830917806297
Klebsiella,0.9178544248482728,0.9848830917806297
Odoribacter,0.9269723910353975,0.9848830917806297
Colidextribacter,0.9387704762890426,0.9848830917806297
Megasphaera,0.9392823132751813,0.9848830917806297
Oxalobacter,0.9392823132751813,0.9848830917806297
Lachnoclostridium,0.9397739425387689,0.9848830917806297
Mogibacterium,0.9532851938952434,0.9886984905445156
Paraclostridium,0.9628351903421732,0.9886984905445156
Erysipelotrichaceae UCG-003,0.9662857055367479,0.9886984905445156
Howardella,0.9736038571010879,0.9886984905445156
Streptococcus,0.9870322340700206,0.9946247897167131
Prevotella,1.0,1.0
