Feature Set,Model,Accuracy,Precision,Recall,F1,ROC-AUC
RF10,Random Forest,0.6666666666666666,0.7272727272727273,0.5714285714285714,0.64,0.7857142857142857
RF50,Random Forest,0.7037037037037037,0.8,0.5714285714285714,0.6666666666666666,0.7197802197802197
Consensus,SVM,0.5555555555555556,0.6666666666666666,0.2857142857142857,0.4,0.7087912087912087
All,Random Forest,0.7407407407407407,0.8181818181818182,0.6428571428571429,0.72,0.6868131868131868
RF20,Random Forest,0.6666666666666666,0.7272727272727273,0.5714285714285714,0.64,0.6868131868131868
RF30,Random Forest,0.6666666666666666,0.7272727272727273,0.5714285714285714,0.64,0.6868131868131868
All,SVM,0.6296296296296297,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6840659340659341
RF10,Gradient Boosting,0.6666666666666666,0.7777777777777778,0.5,0.6086956521739131,0.6813186813186813
LASSO,Gradient Boosting,0.5555555555555556,0.5833333333333334,0.5,0.5384615384615384,0.6758241758241759
Consensus,Gradient Boosting,0.6296296296296297,0.7,0.5,0.5833333333333334,0.673076923076923
All,Gradient Boosting,0.7037037037037037,0.75,0.6428571428571429,0.6923076923076923,0.6703296703296704
RF10,SVM,0.5185185185185185,0.5714285714285714,0.2857142857142857,0.38095238095238093,0.6483516483516483
LASSO,Random Forest,0.5555555555555556,0.5833333333333334,0.5,0.5384615384615384,0.6346153846153846
RF50,Gradient Boosting,0.6296296296296297,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.6318681318681318
RF20,SVM,0.5925925925925926,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.6263736263736264
LASSO,SVM,0.48148148148148145,0.5,0.21428571428571427,0.3,0.6208791208791209
RF20,Gradient Boosting,0.5925925925925926,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.6153846153846154
Consensus,Random Forest,0.5925925925925926,0.6153846153846154,0.5714285714285714,0.5925925925925926,0.6016483516483516
RF30,Gradient Boosting,0.5185185185185185,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.5989010989010989
RF10,Logistic Regression,0.5185185185185185,0.5454545454545454,0.42857142857142855,0.48,0.5934065934065933
RF30,SVM,0.5185185185185185,0.5555555555555556,0.35714285714285715,0.43478260869565216,0.5439560439560439
RF20,Logistic Regression,0.5555555555555556,0.5833333333333334,0.5,0.5384615384615384,0.5384615384615384
LASSO,Logistic Regression,0.5185185185185185,0.5555555555555556,0.35714285714285715,0.43478260869565216,0.5384615384615384
Consensus,Logistic Regression,0.5555555555555556,0.6,0.42857142857142855,0.5,0.5219780219780219
RF50,SVM,0.5555555555555556,0.5833333333333334,0.5,0.5384615384615384,0.478021978021978
All,Logistic Regression,0.48148148148148145,0.5,0.2857142857142857,0.36363636363636365,0.4285714285714286
RF50,Logistic Regression,0.4074074074074074,0.4,0.2857142857142857,0.3333333333333333,0.423076923076923
RF30,Logistic Regression,0.4444444444444444,0.45454545454545453,0.35714285714285715,0.4,0.4065934065934066
