Genus,Importance
Terrisporobacter,0.0314178394259861
Intestinibacter,0.0309580805514218
Marvinbryantia,0.02462111107125579
[Eubacterium] hallii group,0.02251802673119453
Romboutsia,0.021703732843756023
Lachnospiraceae FCS020 group,0.019290092680605712
Faecalibacterium,0.01881152062229456
Subdoligranulum,0.018781827383521164
Slackia,0.01836223033939092
Coprococcus,0.017572461180692386
Dorea,0.017403236597047463
Agathobacter,0.016498996689456334
Clostridium sensu stricto 1,0.016436340159352126
Corynebacterium,0.016340167453945297
[Ruminococcus] gauvreauii group,0.01577513449328285
Christensenellaceae R-7 group,0.014997489720844151
UCG-002,0.014298385388125
[Eubacterium] siraeum group,0.01383152641325671
[Ruminococcus] torques group,0.013387890632356726
Monoglobus,0.013282389448422478
Erysipelotrichaceae UCG-003,0.013033791876756946
Incertae Sedis,0.012534642994391217
Actinomyces,0.01240496329627068
Fusicatenibacter,0.011908826026734
Streptococcus,0.011749696496769931
Bifidobacterium,0.011619241828094047
Escherichia-Shigella,0.011526848859765687
Enterorhabdus,0.011280144956802277
CAG-56,0.011132927754311144
Catenibacterium,0.010958693989215453
Ligilactobacillus,0.010950566705331493
Granulicatella,0.010739440533910136
Rothia,0.010699487200257592
Dialister,0.010622773087758325
Prevotella_9,0.010511780104345851
Ruminococcus,0.010288654408783248
Blautia,0.01026661919302384
Lachnospiraceae ND3007 group,0.0095274021954294
Anaerostipes,0.009320186442130897
Lachnospiraceae UCG-001,0.009082330576061734
Lachnospira,0.0089806891317084
Colidextribacter,0.008853260281830097
Enterococcus,0.00862490491120897
[Eubacterium] ruminantium group,0.00845270821448536
Collinsella,0.008356276540366008
Holdemanella,0.007990442864814522
Solobacterium,0.007862838903486097
Family XIII AD3011 group,0.0075796833309356975
Howardella,0.007575669798476744
Turicibacter,0.00756636366305147
Gordonibacter,0.007490892446230396
Prevotella_7,0.007333331380768988
UCG-005,0.007064989923987941
[Eubacterium] ventriosum group,0.006943814643543927
Bacteroides,0.006815048619559786
Mogibacterium,0.006798481462117487
Gemella,0.0067885109671689155
Bacillus,0.00676219374320192
Senegalimassilia,0.006755473008625075
Lachnospiraceae NK4A136 group,0.0065023622834179005
F0332,0.006441416165522094
[Eubacterium] nodatum group,0.006422983719559507
Eggerthella,0.006388730151398136
UCG-003,0.006387797521099072
Weissella,0.0063844942239030525
NK4A214 group,0.006211297735132898
Roseburia,0.0061422851602113875
Ureibacillus,0.005936763425737074
Peptococcus,0.005672590274421847
Prevotella,0.005550678847901432
Atopobium,0.005431367948858066
Sarcina,0.0053831861554809075
Anaerococcus,0.005321457262856154
Butyricicoccus,0.005258542651439703
[Eubacterium] eligens group,0.0051145195625065375
CAG-352,0.00509629731556732
Brevibacillus,0.005022445676955129
Lachnospiraceae UCG-003,0.005013181662334437
Lactobacillus,0.004918527735743688
Oribacterium,0.004797135526198858
CHKCI002,0.004769393367479122
Alistipes,0.0047288713279629345
Family XIII UCG-001,0.004549557569346159
Anaerofustis,0.004461408675533119
Olsenella,0.004418179412411003
Akkermansia,0.004394496780915738
Klebsiella,0.004377771612131145
Lactococcus,0.004366921106702706
[Eubacterium] brachy group,0.004366599982891679
Eubacterium,0.004290049950808895
Chungangia,0.0040329941658760965
Succinivibrio,0.003841113524563739
Staphylococcus,0.0037647721850315383
Adlercreutzia,0.0036385799535906143
[Clostridium] innocuum group,0.0035353749407594343
Raoultibacter,0.0035286103016521973
Rikenellaceae RC9 gut group,0.0034619182173910965
Libanicoccus,0.0033847925037916284
Fournierella,0.0030358549229038364
Sutterella,0.0030287972729023554
Intestinimonas,0.0030107891051412094
Lachnoclostridium,0.0030078636848408762
Erysipelotrichaceae UCG-006,0.0028927968802489414
Mitsuokella,0.002851176770131542
[Ruminococcus] gnavus group,0.0028114637835667954
Parabacteroides,0.0027576239466940424
Limosilactobacillus,0.0027453297260955963
Oxalobacter,0.002302588480584901
Odoribacter,0.002205551001349956
Oscillibacter,0.0021896707677976687
Fastidiosipila,0.002163170522354454
Fenollaria,0.0021464434465680196
Paraclostridium,0.0020962466027630387
UCG-009,0.002065432657372496
Butyricimonas,0.0020648827616136507
Phascolarctobacterium,0.0020230752014839828
Lachnospiraceae UCG-010,0.0019158323507906818
UBA1819,0.0018491250941849353
Defluviitaleaceae UCG-011,0.0017427076995339566
[Eubacterium] saphenum group,0.0017385415961161021
Barnesiella,0.0017085587574041494
Paludicola,0.0015818631916458118
Lachnospiraceae AC2044 group,0.001540246660773495
Holdemania,0.0014816484714657776
Leuconostoc,0.001244079243795855
Megasphaera,0.0011096146144034145
[Bacteroides] pectinophilus group,0.0010010458860044789
Negativibacillus,0.0009577893950941294
Murdochiella,0.0009521683859122955
Porphyromonas,0.0007481806619589326
Shuttleworthia,0.0006773016834988443
