UMAP1,UMAP2,Disease
2.6703143,6.627281,Healthy
2.556031,7.702221,Healthy
2.6869555,7.6063113,Healthy
2.237096,7.991028,Healthy
3.8900278,8.671587,Healthy
3.9999013,8.225279,Healthy
3.1574166,7.300753,Healthy
3.4605136,8.682691,Healthy
2.318825,7.990577,Healthy
1.4307516,7.5774283,Healthy
3.9985232,7.6753483,Healthy
2.312432,8.4239855,Healthy
2.5700405,7.0763597,Healthy
3.0093322,8.317625,Healthy
2.659881,8.776517,Healthy
3.446195,7.592908,Healthy
3.2397878,7.875975,Healthy
2.2890828,9.574387,Healthy
1.7671573,8.204241,Healthy
3.3326256,8.322854,Healthy
3.7857475,6.96879,Healthy
1.811616,9.701794,Healthy
3.1571193,9.068292,Healthy
1.5620974,9.239912,Healthy
1.97238,6.8187265,Type 2 diabetes
0.69169194,7.5227833,Type 2 diabetes
1.2244674,6.7692347,Type 2 diabetes
3.1480193,6.448237,Type 2 diabetes
1.1594102,8.038654,Type 2 diabetes
1.1919471,6.235126,Type 2 diabetes
3.7718592,9.304081,Type 2 diabetes
1.9482948,6.3708215,Type 2 diabetes
2.032778,9.345634,Type 2 diabetes
1.6593028,8.553577,Type 2 diabetes
2.9323359,5.9960694,Type 2 diabetes
0.54943943,7.069566,Type 2 diabetes
1.9794062,5.6167464,Type 2 diabetes
1.3042305,6.027336,Type 2 diabetes
2.1892555,6.7052765,Type 2 diabetes
0.8175501,6.703505,Type 2 diabetes
2.387154,8.582981,Type 2 diabetes
2.3336794,5.677647,Type 2 diabetes
3.6616743,7.74196,Type 2 diabetes
4.2769403,7.248999,Type 2 diabetes
1.764394,5.9726562,Type 2 diabetes
1.879198,7.149242,Type 2 diabetes
2.4897695,6.1018586,Type 2 diabetes
2.9046776,9.72248,Type 2 diabetes
4.2409115,8.332522,Type 2 diabetes
